,Time,cycle_phase,cycle_step,chamber_vacuum_valve_pv220,ut_pv220
45051,2017-03-08 12:30,2,1,0,7.808231831
45052,2017-03-08 12:30,2,1,0,8.543526649
45053,2017-03-08 12:30,2,1,0,7.767223835
45054,2017-03-08 12:30,2,1,0,7.087244034
45055,2017-03-08 12:30,2,1,0,7.222668171
45056,2017-03-08 12:30,2,1,0,8.322271347
45057,2017-03-08 12:30,2,1,0,9.2673769
45058,2017-03-08 12:30,2,1,0,7.625123978
45059,2017-03-08 12:30,2,1,0,8.978408813
45060,2017-03-08 12:30,2,1,0,7.929350853
45061,2017-03-08 12:31,2,1,0,10.25158024
45062,2017-03-08 12:31,2,1,0,8.70470047
45063,2017-03-08 12:31,2,1,0,7.847332954
45064,2017-03-08 12:31,2,1,0,8.215457916
45065,2017-03-08 12:31,2,1,0,7.871175766
45066,2017-03-08 12:31,2,1,0,9.839590073
45067,2017-03-08 12:31,2,1,0,8.175402641
45068,2017-03-08 12:31,2,1,0,9.240673065
45069,2017-03-08 12:31,2,1,0,7.602235794
45070,2017-03-08 12:31,2,1,0,7.660409927
45071,2017-03-08 12:31,2,1,0,8.062867165
45072,2017-03-08 12:31,2,1,0,7.779622078
45073,2017-03-08 12:31,2,1,0,7.982758045
45074,2017-03-08 12:31,2,1,0,7.231250763
45075,2017-03-08 12:31,2,1,0,7.135881901
45076,2017-03-08 12:31,2,1,0,7.787250996
45077,2017-03-08 12:31,2,1,0,8.813420296
45078,2017-03-08 12:31,2,1,0,8.661783218
45079,2017-03-08 12:31,2,1,0,8.323225021
45080,2017-03-08 12:31,2,1,0,8.218318939
45081,2017-03-08 12:31,2,1,0,8.470092773
45082,2017-03-08 12:31,2,1,0,9.134813309
45083,2017-03-08 12:31,2,1,0,8.686579704
45084,2017-03-08 12:31,2,1,0,9.331273079
45085,2017-03-08 12:31,2,1,0,9.007972717
45086,2017-03-08 12:31,2,1,0,8.684672356
45087,2017-03-08 12:31,2,1,0,9.413290977
45088,2017-03-08 12:31,2,1,0,8.634126663
45089,2017-03-08 12:31,2,1,0,8.764781952
45090,2017-03-08 12:31,2,1,0,8.751431465
45091,2017-03-08 12:31,2,1,0,8.202106476
45092,2017-03-08 12:31,2,1,0,7.742427826
45093,2017-03-08 12:31,2,1,0,8.706606865
45094,2017-03-08 12:31,2,1,0,9.031815529
45095,2017-03-08 12:31,2,1,0,8.396657944
45096,2017-03-08 12:31,2,1,0,9.501983643
45097,2017-03-08 12:31,2,1,0,8.455786705
45098,2017-03-08 12:31,2,1,0,9.727054596
45099,2017-03-08 12:31,2,1,0,8.579767227
45100,2017-03-08 12:31,2,1,0,7.93602705
45101,2017-03-08 12:31,2,1,0,8.14202404
45102,2017-03-08 12:31,2,1,0,7.66327095
45103,2017-03-08 12:31,2,1,0,9.302662849
45104,2017-03-08 12:31,2,1,0,9.143396378
45105,2017-03-08 12:31,2,1,0,7.254138947
45106,2017-03-08 12:31,2,1,0,9.052796364
45107,2017-03-08 12:31,2,1,0,8.306056976
45108,2017-03-08 12:31,2,1,0,7.429617882
45109,2017-03-08 12:31,2,1,0,7.143510818
45110,2017-03-08 12:31,2,1,0,7.460135937
45111,2017-03-08 12:31,2,1,0,8.005645752
45112,2017-03-08 12:31,2,1,0,7.711908817
45113,2017-03-08 12:31,2,1,0,7.155909061
45114,2017-03-08 12:31,2,1,0,8.650339127
45115,2017-03-08 12:31,2,1,0,9.411383629
45116,2017-03-08 12:31,2,1,0,8.072403908
45117,2017-03-08 12:31,2,1,0,9.368468285
45118,2017-03-08 12:31,2,1,0,8.597887039
45119,2017-03-08 12:31,2,1,0,9.336041451
45120,2017-03-08 12:31,2,1,0,19.98493004
45121,2017-03-08 12:32,2,1,0,9.188220978
45122,2017-03-08 12:32,2,1,0,8.321317673
45123,2017-03-08 12:32,2,1,0,7.215991974
45124,2017-03-08 12:32,2,1,0,8.296520233
45125,2017-03-08 12:32,2,1,0,8.94979763
45126,2017-03-08 12:32,2,1,0,9.02990818
45127,2017-03-08 12:32,2,1,0,9.604028702
45128,2017-03-08 12:32,2,1,0,8.036164284
45129,2017-03-08 12:32,2,1,0,8.139163017
45130,2017-03-08 12:32,2,1,0,10.35457993
45131,2017-03-08 12:32,2,1,0,8.236438751
45132,2017-03-08 12:32,2,1,0,7.988480091
45133,2017-03-08 12:32,2,1,0,8.608377457
45134,2017-03-08 12:32,2,1,0,9.576372147
45135,2017-03-08 12:32,2,1,0,7.691882133
45136,2017-03-08 12:32,2,1,0,9.259746552
45137,2017-03-08 12:32,2,1,0,8.37376976
45138,2017-03-08 12:32,2,1,0,8.900205612
45139,2017-03-08 12:32,2,1,0,8.726634979
45140,2017-03-08 12:32,2,1,0,8.266002655
45141,2017-03-08 12:32,2,1,0,9.92446804
45142,2017-03-08 12:32,2,1,0,7.470626831
45143,2017-03-08 12:32,2,1,0,9.957846642
45144,2017-03-08 12:32,2,1,0,9.933051109
45145,2017-03-08 12:32,2,1,0,9.22636795
45146,2017-03-08 12:32,2,1,0,8.209734917
45147,2017-03-08 12:32,2,1,0,7.946516991
45148,2017-03-08 12:32,2,1,0,7.754826069
